"id","group","fc","log10_exp","log10_IGAP"
"CALML6","2",-1.02384217216907,1.24205377692081e-13,0
"ADCY3","2",-1.01000218222699,1.24205377692081e-13,0
"PDE1A","1",-1.22059466012849,1.60909736550465,0
"RYR3","2",-1.09467901693043,0.237595221024518,0
"CACNA1D","1",-1.11724697142282,1.67326806031883,0
"CACNA1S","1",-1.15182380281945,1.59657773888788,0
"RYR2","1",-1.28701545854304,2.33996621373951,0
"PHKA1","2",1.08729360093921,0.669631011303842,0
"ITPR2","2",-1.00783954902162,1.24205377692081e-13,0
"PLCZ1","2",1.01732861638222,0.0986554591073763,0
"GNA14","1",-1.14064724127087,1.3277954456027,0
"CACNA1G","1",-1.27017067757756,2.90198649169408,0
"ATP2A3","2",1.11620098080681,0.812178331795309,0
"CALML5","2",-1.03174968430136,0.272517804917032,0
"PTGFR","2",-1.00640337008871,1.24205377692081e-13,0
"TACR1","1",-1.29879128124963,1.74962040943413,0
"OXTR","2",-1.15873767462594,0.678160395344714,0
"AVPR1B","2",-1.05254330270663,0.555503346618792,0
"ADRA1A","2",1.01951494927591,1.24205377692081e-13,0
"CHRM5","2",1.09799651993471,0.070858886621062,0
"CHRM1","1",-1.36133220943836,2.83448230414559,0
"PHKB","2",-1.10502521206617,1.12976693634859,0
"CACNA1H","2",-1.14177103982353,1.05385609590415,0
"CACNA1C","1",-1.16912816333747,2.10420556029118,0
"MYLK3","1",-1.52889698813445,4.74451716905575,0
"PLCD4","2",1.07048214207242,0.422182340997063,0
"CACNA1A","1",-1.12601818721272,1.42726503943831,0
"ITPR3","2",1.03391702306025,0.0218076074745607,0
"RYR1","2",-1.04719961589845,0.257087006818969,0
"BDKRB2","2",-1.13566140971077,0.645984089206585,0
"CACNA1E","1",-1.22067755625823,2.12567077230237,0
"PLCB2","2",-1.01651699960736,1.24205377692081e-13,0
"PTGER1","1",-1.57315570377709,2.92949028698234,0
"GRM1","1",-1.21006154433335,1.73528466397299,0
"TRHR","2",1.00329644286766,1.24205377692081e-13,0
"ATP2A2","1",-1.27406924087738,3.08053976707843,0
"PTAFR","2",1.19208492852854,1.27519997332326,0
"PHKA2","2",1.0330491165118,0.19540522428475,0
"PHKG1","2",1.01657956876885,1.24205377692081e-13,0
"GRIN1","2",-1.14466712359905,0.564668726821397,0
"GRM5","1",-1.1955851461011,1.33708916232892,0
"CALML3","1",-1.56830645677451,5.59708685264124,0
"CACNA1B","1",-1.31994720261543,2.48474862219331,0
"CHP2","2",-1.07611879522407,0.308125937968823,0
"PLCE1","1",1.16975373632739,2.55612170879913,0
"BDKRB1","2",1.03032027540968,1.24205377692081e-13,0
"PLCB4","2",-1.07248130102103,0.324770403151458,0
"GRIN2C","2",-1.06893179888936,0.252726395579579,0
"AGTR1","1",1.23880600708128,2.48129283336293,0
"NTSR1","2",-1.09980415764008,0.390307758352119,0
"AVPR1A","2",-1.00575448498995,1.24205377692081e-13,0
"ITPR1","1",-1.37712930608978,2.26885290386632,0
"HRH1","2",-1.02079347415844,0.000261588634626844,0
"GRPR","1",-1.25961781516634,3.0249392928023,0
"CHRM3","1",-1.20351031902808,2.31542010568247,0
"EDNRB","2",1.19596199176564,1.16125703924966,0
"MYLK2","1",-1.26699002838522,1.54136031640444,0
"TACR3","2",1.00879630747366,1.24205377692081e-13,0
"PDE1B","1",-1.19109248828549,1.67860934368988,0
"HTR2C","2",-1.25366424750578,1.06809609339566,0
"TBXA2R","2",1.14068502176964,0.937987847658351,0
"ADRA1D","1",-1.70757826679125,4.9457887381563,0
"CAMK2D","1",-1.31836939840024,2.45275033210875,0
"PLCB1","1",-1.17504330244056,2.42621548343795,0
"ADRA1B","1",-1.42131944289675,3.26170436169601,0
"ITPKA","2",-1.19171707737875,1.25240972613096,0
"HTR2B","2",-1.02704115338748,1.24205377692081e-13,0
"EDNRA","2",1.01569417344129,1.24205377692081e-13,0
"CCKAR","1",-1.15866935946826,1.6820955841801,0
"SLC25A6","1",-1.22130777191006,4.68517625619733,0
"ITPKB","1",1.4134834392813,6.62263748770504,0
"PPP3CB","1",-1.25417572330631,1.83407147178759,0
"HTR2A","1",-1.33741863644365,2.20286012264626,0
"GNAQ","2",-1.02552678156373,0.12316554783211,0
"GRIN2D","1",-1.24380590039881,3.2841406909528,0
"LHCGR","2",-1.0017042621843,1.24205377692081e-13,0
"PPP3R1","1",-1.26749960648401,1.86411790987857,0
"GNA11","2",-1.05754568015645,0.434368665497061,0
"SLC25A5","2",-1.1476524664597,1.08532618998149,0
"CAMK2B","2",-1.14414010841374,1.25769205537499,0
"NOS2","1",-1.23649039015381,1.45832544049899,0
"MYLK","2",-1.03138183151905,0.0555849494738982,0
"CAMK4","1",-1.33128665501147,3.11597899007518,0
"GNA15","2",-1.12712122385459,0.894948038652113,0
"PRKACG","2",-1.0081301632115,0.00625154332108406,0
"PLCB3","1",1.14237915238242,2.18456064005115,0
"PHKG2","1",-1.14440788182851,2.40313069118412,0
"PRKX","1",1.295888966763,4.74505671587158,0
"NOS1","1",-1.1515273545379,2.04807519775112,0
"PRKCG","1",-1.58345441543204,5.32561633449342,0
"GRIN2A","1",-1.45711295702609,3.31276897610199,0
"NOS3","2",1.07392113355459,0.183392046019195,0
