"id","group","n","a","fc","log10_exp","log10_IGAP"
"GABRA2","2",0.237591537835639,0.738161106590724,-1.42705319942163,0.867548993403288,0
"NSF","1",0.896829152863228,0.0205868433506862,-1.18686519379314,2.39587067893565,0
"PCDH8","1",0.915593705293276,0.0343347639484979,-1.53466638156687,3.69975716068433,0
"CTTN","2",0.241305890702626,0.289567068843151,-1.17621555045421,0.952039852227642,0
"ABI1","2",0.264961771684682,0.299235433693646,-1.15905381106019,0.517657206408356,0
"GABRA1","1",0.977636347564748,0.0019446654291523,-1.05120670681491,1.78434851634129,0
"APC","2",0.209282917121397,0.417731270462862,-1.17770280330366,0.0471622279960987,0
"GRIN2A","1",0.923357664233577,0.00437956204379562,-1.22121547867672,3.31276897610199,0
"GRIA2","1",0.623952183103725,0.208542896712588,-1.15684193657973,1.83142298253439,0
"FUS","1",0.169934640522876,0.150980392156863,-1.14918483608395,1.69890653784398,0
"X","2",0,0,1,0,0
"CTNNB1","2",0.259466397726231,0.150453836985422,-1.08600680454609,0.516377699883236,0
"APP","1",0.478555707572423,0.0531794658259473,-1.16005470852965,2.06787792916607,0
"SYT1","1",0.971203126728366,0.00221230780575937,1.03502667724072,1.63053840064871,0
"CAMK2A","1",0.533910533910534,0.0663780663780664,-1.137062458445,2.00593888178826,0
"SNAP25","1",0.926299747336337,0.0145716080905846,-1.20864557470549,2.42978036022592,0
"STXBP1","1",0.741412538260968,0.0783357895930167,-1.27343441973854,3.19960168402265,0
"GRIN2B","2",0.917748917748918,0.0103896103896104,1,0,0
"SNCB","1",0.842490842490842,0.0476190476190476,-1.18507274792427,3.27446805284598,0
"CAMK2B","2",0.606060606060606,0.195592286501377,-1.10347917771539,1.25769205537499,0
"DNM1","1",0.87737843551797,0.0200845665961945,-1.15211501843472,3.04095949976139,0
"SNCA","1",0.667962537550804,0.0245626435766036,-1.15639108525421,2.65942279193836,0
"OPCML","1",0.744927536231884,0.0269565217391304,-1.1261147178477,1.92047563727173,0
"SLC1A2","2",0.0804866635470285,0.878254562470753,-1.48040165223077,0.0165243044738847,0
"HNRNPK","2",0.210585165859113,0.194092433842713,-1.10178302931448,0.277933449988728,0
"SH3GL2","1",0.88011417697431,0.0380589914367269,-1.14321521959602,1.83222871273661,0
"NLGN1","2",0.545454545454545,0.0265454545454545,1.02617742038497,0.66170468539622,0
"AMPH","1",0.820751064653504,0.0503290747193186,-1.14725778006855,2.10653386467495,0
"PJA2","1",0.430357142857143,0.203988095238095,-1.22137744843995,1.6863266240941,0
